link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,2100,71,951,115,0
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,2851,417,900,48,1
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,2120,86,797,50,2
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,2621,93,2219,759,0
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,2947,82,1484,42,1
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,4757,81,1942,319,2
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,2806,178,5124,2050,0
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,1323,118,4557,111,1
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,1499,138,2512,81,2
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2159,77,1853,648,0
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2208,72,791,62,1
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2193,65,893,40,2
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,1844,150,4321,2314,0
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,1238,63,3120,146,1
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,1457,68,2324,87,2
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2403,87,1614,585,0
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2469,97,960,39,1
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2270,59,981,37,2
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,1660,147,3788,1159,0
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,1686,69,2463,97,1
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,1294,57,2488,66,2
