link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,https://amp.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,5660,173,1318,136,0
https://www.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,https://amp.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,8027,174,1291,129,1
https://www.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,https://amp.theguardian.com/us-news/2017/feb/21/donald-trump-immigration-deportation-guidelines-homeland-security,3892,167,1205,47,2
https://www.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,https://amp.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,3389,82,1282,182,0
https://www.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,https://amp.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,3834,165,1323,186,1
https://www.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,https://amp.theguardian.com/books/2017/feb/21/60-authors-actors-musicians-sign-letter-against-trump-travel-ban,4458,77,1181,60,2
https://www.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,https://amp.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,2280,121,2000,459,0
https://www.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,https://amp.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,1932,66,1708,70,1
https://www.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,https://amp.theguardian.com/us-news/2017/feb/21/tijuana-migration-latin-america-mexico-homelessness,1896,69,1839,64,2
https://www.theguardian.com/education/2017/feb/21/donald-trump-travel-ban-universities-international-students,https://amp.theguardian.com/education/2017/feb/21/donald-trump-travel-ban-universities-international-students,3854,191,1800,296,0
