link,amp_link,non_amp_total,amp_total
http://www.usatoday.com//story/life/movies/2017/02/21/spoilers-la-la-land-dream-sequence-ending-meaning/98164730/,http://amp.usatoday.com/story/98164730/,43975.4,13598.75
http://www.usatoday.com//story/news/nation/2017/02/21/donald-trump-homeland-security-issues-deportation-memos/98190192/,http://amp.usatoday.com/story/98190192/,103564.5,16483.66667
http://www.usatoday.com//story/news/politics/2017/02/21/trumps-long-tangled-history-anti-semitism-and-angry-rhetoric/98201196/,http://amp.usatoday.com/story/98201196/,33479.4,15486
http://www.usatoday.com//story/life/movies/2017/02/21/jimmy-kimmel-oscars-academy-awards-host-trump-tweets-underwear/98219820/,http://amp.usatoday.com/story/98219746/,32299.8,14164.75
http://www.usatoday.com//story/news/2017/02/21/trump-administration-change-transgender-student-bathroom-rules/98221368/,http://amp.usatoday.com/story/98221368/,17054.8,15351.6
http://www.usatoday.com//story/news/politics/onpolitics/2017/02/21/trump-tweets-protesters/98224050/,http://amp.usatoday.com/story/98224050/,40785.6,15109.4
http://www.usatoday.com//story/sports/nba/lakers/2017/02/21/lakers-trade-lou-williams-rockets/98225554/,http://amp.usatoday.com/story/98225554/,50117.5,13995.4
http://www.usatoday.com//story/news/nation-now/2017/02/21/statue-of-liberty-refugees-welcome-banner/98225528/,http://amp.usatoday.com/story/98225528/,25373.2,18097.6
http://www.usatoday.com//story/news/nation-now/2017/02/21/woman-admits-1m-stolen-employer/98227390/,http://amp.usatoday.com/story/98227390/,8238.2,28603.4
http://nypost.com/2017/02/21/racist-vandalism-is-costing-victims-100-per-day/,http://nypost.com/2017/02/21/racist-vandalism-is-costing-victims-100-per-day/amp/,80756.6,28630.4
http://nypost.com/2017/02/21/prep-school-sex-offender-back-in-court-to-push-for-new-trial/,http://nypost.com/2017/02/21/prep-school-sex-offender-back-in-court-to-push-for-new-trial/amp/,73225,21209
http://nypost.com/2017/02/21/milo-yiannopoulos-thinks-he-represents-anti-establishment-republicans/,http://nypost.com/2017/02/21/milo-yiannopoulos-thinks-he-represents-anti-establishment-republicans/amp/,80227.4,17481
http://nypost.com/2017/02/21/melania-amends-hooker-suit-after-it-cited-potential-profits/,http://nypost.com/2017/02/21/melania-amends-hooker-suit-after-it-cited-potential-profits/amp/,95651,18875.4
http://nypost.com/2017/02/21/house-of-horrors-abortion-doctor-claims-he-delivered-will-smith/,http://nypost.com/2017/02/21/house-of-horrors-abortion-doctor-claims-he-delivered-will-smith/amp/,74743.2,44403
http://nypost.com/2017/02/21/dashcam-captures-deadly-plane-crash/,http://nypost.com/2017/02/21/dashcam-captures-deadly-plane-crash/amp/,88468.66667,34916.6
http://nypost.com/2017/02/21/crime-boss-allegedly-ordered-attack-on-nurse-after-botched-genital-surgery/,http://nypost.com/2017/02/21/crime-boss-allegedly-ordered-attack-on-nurse-after-botched-genital-surgery/amp/,75114.6,32675.6
http://nypost.com/2017/02/21/cops-hot-on-trail-of-paranoid-national-mall-vandal/,http://nypost.com/2017/02/21/cops-hot-on-trail-of-paranoid-national-mall-vandal/amp/,64561.8,22993.2
http://nypost.com/2017/02/21/another-orange-alligator-has-been-spotted/,http://nypost.com/2017/02/21/another-orange-alligator-has-been-spotted/amp/,84976.5,18284.8
http://nypost.com/2017/02/21/activists-hang-refugees-welcome-banner-on-statue-of-liberty/,http://nypost.com/2017/02/21/activists-hang-refugees-welcome-banner-on-statue-of-liberty/amp/,78392.2,22417.6
http://time.com/4677159/lana-del-rey-love/,http://amp.timeinc.net/time/4677159/lana-del-rey-love/,71461.4,16340.8
