link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,2166,49,1331,688,0
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,4903,57,833,37,1
https://www.buzzfeed.com/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,https://www.buzzfeed.com/amphtml/salvadorhernandez/president-trumps-plan-to-end-sanctuary-cities-may-be-backfir,1962,49,819,33,2
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,2891,49,1521,645,0
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,2437,46,1800,33,1
https://www.buzzfeed.com/bradesposito/i-hate-sunfish,https://www.buzzfeed.com/amphtml/bradesposito/i-hate-sunfish,5169,200,1227,35,2
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,1922,100,6958,1190,0
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,3153,127,4364,384,1
https://www.buzzfeed.com/bradesposito,https://www.buzzfeed.com/amphtml/bradesposito,1343,135,2911,142,2
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2095,58,1001,400,0
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2380,51,683,59,1
https://www.buzzfeed.com/matwhitehead/valentines-quiz,https://www.buzzfeed.com/amphtml/matwhitehead/valentines-quiz,2297,72,623,54,2
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,3144,1605,6070,1331,0
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,2114,47,4862,54,1
https://www.buzzfeed.com/matwhitehead,https://www.buzzfeed.com/amphtml/matwhitehead,1501,52,2437,61,2
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2263,50,1329,466,0
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2316,46,926,43,1
https://www.buzzfeed.com/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,https://www.buzzfeed.com/amphtml/jimdalrympleii/six-patriots-players-are-refusing-to-meet-trump-raising-the,2311,50,940,42,2
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,2704,1124,4930,1232,0
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,1823,47,1916,69,1
https://www.buzzfeed.com/jimdalrympleii,https://www.buzzfeed.com/amphtml/jimdalrympleii,1677,71,2558,65,2
